Source,Target,Time
MtTrailHiker,kamalaharris,1603655876000
lostinohio1,isellmpls,1596391566000
ObiWanTerhuni,realdonaldtrump,1601447689000
denise26105,newtgingrich,1600385138000
p_bolte,joebiden,1603148972000
AboutMoneyRadio,,1604095331000
avgusergirl,facethenation,1597993669000
MissShivaHoney,tstvhq,1604360304000
lisachahn,governorva,1601564770000
iammamacheryl,mssunshine132,1596527470000
DrNealHouston,godwins1234,1604360058000
50Colleen2,sumarti2009,1600020055000
travis_horr,missioncontinue,1601497947000
Joeanthony_nyc,,1603655656000
Detcookieman74,,1601729860000
CowboyJaxx,,1604296186000
Dusty_R17,breitbartnews,1603536064000
CampaignLegal,,1603932835000
2hazy2c,joebiden,1604113060000
CenterforCSPAN,discourseclubpu,1601445890000
usaf84mike,zeusfanhouse,1604022476000
MeyersMusings,theclarencebee,1604002920000
Harpo302,perfectsliders,1596582808000
restorationpac,,1604373398000
gdaymateo,joerogan,1600184768000
crcwilkinson,potus,1600401223000
Yusimite777,speakerpelosi,1600122736000
rivernest1800,realdonaldtrump,1604379273000
xdaisy_mae,joebiden,1601113627000
2020_HappyHour,twobroadstalk,1603597052000
jonmgibson,justinhendrix,1603688164000
everewarr,joerogan,1600184937000
OCpropertysales,realdonaldtrump,1601264449000
Azoomazoomazoom,defenddemocracy,1603113090000
thejoshuablogs,motherjones,1603919102000
LeftyChicago,,1601662244000
asheborn57,twitter,1601693289000
CactusFlower_1,zeusfanhouse,1601668827000
GoldsteinEman,timkennedymma,1600084247000
JamiraBurley,bbc,1596431848000
RoKeT_gal,w7voa,1604362571000
phillyeaglesfa1,realdonaldtrump,1604351917000
MarkLaporte19,theleoterrell,1604005168000
countryboy28,drlimengyan1,1603679444000
RightHot,statespoll,1602836061000
djtweetiebird,votercorps,1604358088000
eric_weinberger,,1603904651000
J_Marrs_,deadder,1604355564000
ksnewsservice,ksnewsservice,1603924988000
Geoflausa,danscavino,1604308461000
BCCLora,dni_ratcliffe,1603153921000
MattGrantFOX46,fox46news,1604365325000
jaymierp,statespoll,1603553143000
glennrstevens,govwhitmer,1603895773000
devtimezombie,recessvinyl,1601477781000
JasonHortiz,realdonaldtrump,1601448806000
glassman1930,kanyewest,1600151041000
BL4USA,realdonaldtrump,1603137426000
htmldon,ap_politics,1596777216000
GMB4TRUMP,georgesoros,1600375123000
Les__Med,danscavino,1604009903000
pbrasga,realdonaldtrump,1602835644000
InTheThickShow,flrightsrestore,1601327516000
DrewTurner73,,1596567907000
NYCKirsch,realdonaldtrump,1600107507000
LogicDontCare,joebiden,1600105885000
DavidMixner,elex_michaelson,1596499131000
OHDems,davidpepper,1603061164000
alexvicunaa,,1601452981000
blessedbutch,jssacramento,1603729687000
DonCalzoneVIP,,1602868809000
Rosie_wearamask,sumoh7,1603809397000
garlandgates,realdonaldtrump,1601654182000
Londonrose2020,potus,1604092331000
RELXHQ,lexisnexis,1604373242000
Laura_K8T,pdamerica,1602986561000
1jasliz,sumoh7,1602831947000
UTVotes,studentpirgs,1604369904000
ModeratelyConf1,washingtonpost,1603155118000
goldenpanther12,fbi,1601402605000
StarAdvertiser,realdonaldtrump,1604035811000
TangrediErin,theleoterrell,1603143104000
BondFire16,chewbacca20001,1602879247000
rcurtis808,hayntrader,1596507520000
ColoradoGirl2A,einsteinsmagic,1600091131000
JeannetteHawke1,theleoterrell,1602995755000
rustyandsue,holmescnn,1596783249000
bonitab17,warroompandemic,1603573668000
DirtyDucko,,1604365863000
rsultzba,zeusfanhouse,1602825786000
1Arturo4u,judicialwatch,1596647438000
Princeton,pupolitics,1604359382000
Grandmc9,ouchinagirl,1599848554000
WendyByTheSea2,dnc,1603854370000
DeplorableEr,raheemkassam,1603757105000
terri_gowin,joebiden,1599945566000
RoKeT_gal,realdonaldtrump,1604362571000
AKpr0bot,timkennedymma,1600162365000
paullywogprod,kamalaharris,1601704261000
LJT_is_me,realamvoice,1604350459000
KJJRAM,,1596484946000
_lisejackson,,1603842027000
Trumpster4Trump,realdonaldtrump,1602906484000
MrThomasMurray2,kamalaharris,1603938413000
thejoshuablog,motherjones,1596636814000
ErieC4L,jorgensen4potus,1601249459000
BeautBoulevards,joebiden,1600065684000
kwrcrow,potus,1599833230000
VegasFilmCritic,cityoflasvegas,1602969422000
BrentStariha,joerogan,1600068061000
KelseyWaitsMN,,1602873133000
WyoJudyShepard,ncscgov,1604001830000
dotcomdon1,realdonaldtrump,1601649418000
jacobmpollock,counteveryvote1,1604357248000
ConscienceCit,kickedofftwice,1601441723000
joywood49789830,edenfieldpl,1603903390000
HCLWV,,1601733658000
cj35937043,honourablehappy,1601482817000
apharmtech,redpillmac,1604369877000
AmandaFrameAARP,aarpadvocates,1603576818000
half_witt,iamwandasykes,1604357484000
VolFan397,joebiden,1598027823000
AK_VaporCharms,realdonaldtrump,1598238811000
RealDeepState3,pchowka,1601530831000
thejoshuablog,tpm,1596827044000
_klaylo_,peopleforgg,1601780351000
AlohaJackie1,warroom2020,1600264221000
Trubsbfan,clarkcountynv,1603003140000
katysolt,flotus,1604358289000
KurtThaGreat,joebiden,1596742713000
DuddleyDuddley,realdonaldtrump,1598214140000
thatgirlsandra5,faithandfreedom,1602881469000
TheKevinOG,jorgensen4potus,1598023688000
tehsilentcircus,tonyatamanuik,1604039836000
MaxHayzz,joebiden,1601585096000
charlene_redhil,votolatino,1601776209000
swc_news,,1604350690000
DonaldNicolas,abcnews,1602823786000
BMLewis2,carmensisrice,1601189964000
JWiere03,jorgensen4potus,1596669153000
JoshBlackStPete,jorgensen4potus,1601174668000
alex_henshaw16,heather_giron,1600309062000
brian_edwards63,butterflylove_8,1601169751000
RebeMccarthy,nypost,1603126603000
TheWorld,shirinj,1604355360000
petluvers4Trump,realdonaldtrump,1604365923000
michaeljf12289,joerogan,1600135573000
AtomicRikkiTiki,joerogan,1600108369000
dcurtis10,redpainter1,1596610111000
CFHeather,realdonaldtrump,1603837024000
RadioDallas,,1600366743000
JewishVoice,whitehouse,1604311623000
roswellstalkfm,scottthuman,1601712535000
knightcaramel,wowjulez,1603852622000
chomppadub,joerogan,1600115373000
123puglet,timkennedymma,1600112939000
IrishEileen,galacticredpill,1604341300000
RockNRollCabbie,grrrgraphics,1600299337000
NBertin_Solares,danscavino,1604346557000
PamelaD42805040,mariashriver,1604376032000
Cass88718094,jorgensen4potus,1596420494000
JuliaRaifman,afrakt,1601580302000
_OsmosisBones,,1601588301000
MrKyleWhitt,jorgensen4potus,1600199812000
KathrynKemm,wa_silenced_maj,1603071505000
Andy_Beebe,,1603677178000
greggieboyLRG,,1602968245000
Mooo2u2,skyrider4538,1601640676000
OlderandB,mprnews,1604375232000
myfairobserver,johnfeffer,1603098000000
thatgirlsandra5,warroompandemic,1602881469000
Spicler,timkennedymma,1600070157000
MediaPhantom5,realdonaldtrump,1604293269000
mosaic_sp,grav1,1601322953000
1Chance2020,scott_5d,1601113253000
thejoshuablogs,motherjones,1604334122000
conservogirl,cbs_herridge,1602955030000
JeepDogSnacks,jorgensen4potus,1596750902000
sdv92,anninquirer,1603160249000
MAGA_DJT2016,malcolmoutloud,1600287082000
BoilerBylaws,purduesports,1600204734000
Qmarksthespot,danscavino,1604379532000
taufiqueswiss,,1599948205000
mattr2509,newtgingrich,1600355485000
datutigas,randpaul,1599813071000
LWVMarin,cavotes,1601776666000
GunnetteP,tombx7m,1603722910000
eclecticeric93,,1604352294000
RexKingofScots,realdonaldtrump,1600112501000
MikefromFLA,forbes,1603061953000
BTCmetalmouse,abeandtrump,1603146272000
zeusFanHouse,realdonaldtrump,1604042795000
jade25801418,tom_trotts,1604346775000
JustMike8,ap_politics,1596682342000
superkeith4,judicialwatch,1596394037000
espinoc5540,danscavino,1604345531000
diypotus,,1596595005000
AJ_Parker11,sherrymaga,1603912705000
KeepingUPosted,1hoodpower,1603904864000
carlsemmes,ericmmatheny,1601332053000
JGarJ_,,1604363259000
irishRebaS,,1603857615000
MissouriJayhawk,realdonaldtrump,1601443745000
InvestingHomies,,1603519178000
JuneSmith888,joebiden,1598025309000
johnloc75707054,tomperez,1603754952000
hoamquach,,1604371436000
NisinCA,danscavino,1604344222000
agimcorp,potus,1604068053000
Sasnak785,oneluckygirl_28,1604042730000
