Id,Verified,Followers,Region
AppSame,false,341429,Texas
thejoshuablog,false,6627,New York
Gnewkirklytics,false,961,North Carolina
rogerwatson92,false,2168,Texas
greencar44,false,2808,Florida
GDDaniel1,false,55,Ohio
BettyAn36951785,false,2,Texas
FogBelter,false,1550,
Trubsbfan,false,156,Nevada
BL4USA,false,37683,
McguireScotty,false,50734,
JGarJ_,false,140,California
TheWorld,true,38769,Massachusetts
Phone2Action,false,4856,District of Columbia
ComfortSpeak,false,240,District of Columbia
JOLPOLitico,false,1438,Georgia
garlandgates,false,1765,Ohio
PeterHi32200905,false,22574,New York
MrsKinder,false,135,Texas
derekdob,false,10067,Florida
LJT_is_me,false,8295,Georgia
USA1864,false,2081,
DeirdreJones54,false,1286,Ohio
EpiRebecca,false,234,Iowa
WillZejda,false,261,Missouri
WhitneysTruLove,false,4171,
UCWV_Zona,false,1387,West Virginia
Sharon1617,false,32,Nebraska
KIRWACSA1,false,1109,Ohio
ARod8675,false,121,Ohio
MAGAmang,false,231,New Hampshire
publius2k,false,88,
mcleod,false,53567,Colorado
Lobby_Loiterer,false,627,Nevada
PoliticalRaces,false,222,District of Columbia
eric_weinberger,false,416,Massachusetts
schwil03,false,2,Pennsylvania
Tmull423,false,550,Georgia
NancyPerlman1,false,11308,Pennsylvania
VCVaile,false,2681,Colorado
HCLWV,false,6,
Saba_JT,false,33,Maryland
kierahattonsena,false,1879,Colorado
CalMatters,false,21282,California
DeniseK_USA,false,4419,Washington
Grease_Mon_key,false,35,Virginia
essvote,true,1348,Nebraska
celticcharm1121,false,117,Connecticut
joehyndman,false,75,Virginia
DavidMixner,false,5349,New York
lis_bri,false,3068,
BenKirkland19,false,27,Florida
Donna78700883,false,5214,
Lancia4Congress,false,376,Rhode Island
eickyeicky,false,708,Michigan
MtTrailHiker,false,1451,
MaxHayzz,false,6197,
DAVanReign,false,696,Florida
bobbordone,false,2207,Massachusetts
michaelskinner,false,306,California
raymondafoss,false,1823,
Adman_Tucker,false,3543,New York
frizzledbeef,false,1177,Florida
eclecticeric93,false,150,Texas
2BoysNSports,false,234,Georgia
RadioDallas,false,253,Texas
jamalbyron1,false,2687,Tennessee
GifAgain,false,285,
ddshelby,false,5244,
Debbie72569141,false,3680,California
mattr2509,false,2833,North Carolina
NBertin_Solares,false,392,Florida
KQEDForum,false,14653,
MeyersMusings,false,1709,
JamiraBurley,true,18494,New York
JewishVoice,true,23468,New York
FletcherSchool,false,19871,Massachusetts
clasen16,false,145,Minnesota
gdaymateo,false,22,Virginia
Joeanthony_nyc,false,360,
Hereforthelau13,false,603,
JuneSmith888,false,5807,
kjzzphoenix,true,16716,Arizona
TeresaZebra4445,false,46,
PamelaD42805040,false,147,Missouri
SovernNation,true,11027,California
diypotus,false,1322,
eight4878,false,316,Arizona
BranceThrasher,false,3847,Texas
SlemPike1,false,1794,Michigan
lilicablossomxo,false,3124,
myfairobserver,false,13574,California
icedinarizona,false,492,
thats_jah,false,529,
SlimStevieX,false,376,California
_OsmosisBones,false,103,New York
devtimezombie,false,228,California
virtualintandem,false,294,Texas
RoNa_104,false,1890,Connecticut
StappElizabeth,false,41979,
NOHATER25130901,false,2940,Illinois
tishatcasida,false,926,Colorado
lisachahn,false,182,New Jersey
LoriRRR,false,2387,California
RiceUNews,true,8846,Texas
RobertB52216885,false,7101,Kentucky
HolyJoe59,false,293,
CoryAChapman1,false,1408,Kansas
SuzeeSusie,false,7242,
chomppadub,false,1411,District of Columbia
bigledmachine,false,229,
BoilerBylaws,false,3008,
annejonesmn,false,3986,Minnesota
MsKimm_Texas,false,23,Texas
Laura_K8T,false,450,Georgia
ChrisCasquejo,true,1350,Michigan
FrankSchiraldi,false,250,Pennsylvania
laxconcierge,false,1111,
Kika1369,false,1711,Texas
DrewTurner73,false,2231,Michigan
ScottMcGrew,true,8286,California
DSMinister,false,846,Connecticut
221thetruthx707,false,11199,Ohio
hightide172,false,16160,
LatinoUSA,true,81581,New York
icivics,false,16227,Massachusetts
alexgulotta,false,1901,Arizona
rdjstark_stark,false,812,Ohio
JohnVetsResist1,false,14549,
djtweetiebird,false,100,Utah
ego_biggest,false,1715,Connecticut
1Arturo4u,false,52,New York
2020_HappyHour,false,323,Colorado
MissShivaHoney,false,1832,
LivnWLupus,false,15234,
harry20131120,false,59,New York
1Chance2020,false,18246,
BobShrum,true,17607,California
Janeway12004,false,3152,Georgia
GauldinDebora,false,4,Texas
StarAdvertiser,true,81752,Hawaii
RCR13Q,false,587,Georgia
RealLowhangers,false,132,
0ldManStoneZone,false,31566,
UTVotes,false,664,Texas
IndivisPrescott,false,13937,Arizona
TheKevinOG,false,108,South Carolina
PositivityW,false,969,Rhode Island
ThomasJ57987234,false,1157,
rcurtis808,true,11571,Hawaii
_klaylo_,false,954,California
LizzDregne,false,834,Ohio
sdv92,false,24559,
drjeffmbaxter,false,591,Colorado
CheetahPizzas,false,296,California
carlsemmes,false,373,
bryanmccomas69,false,3726,
KostiukLeah,false,4113,Oklahoma
ElecCollPolls,false,726,Washington
jennysue62,false,8152,Texas
anitasleep,false,361,California
KimThoman1,false,167,California
RoseIsRational,false,1688,Oregon
dominosmom1123,false,3055,Florida
PewStates,true,26600,District of Columbia
TriciaOPhoto,false,794,Indiana
Charms77,false,14324,Texas
AltruismAmber,false,13,California
WeaponsofMassD,false,878,California
Dwiggins89,false,325,California
StocksNJocks,false,2454,Illinois
KenSumberlin,false,36,Texas
InTheThickShow,false,9116,New York
NaeHelen,false,428,Virginia
Sundncefn,false,70819,
bokeprinbmore,false,2514,
lmblaj1234,false,1457,Florida
DarlaysJames,false,2262,
cavotes,false,1142,California
MaskPowers,false,11,Washington
SWEETPEACE3,false,2302,
oso1mex,false,1628,
econhardship,false,8954,New York
ToursNiche,false,7,
Dorothyshw,false,984,California
RMHannigan,false,214,Illinois
jbb305,false,15,Florida
stiel,false,1508,California
ConservaBelle,false,11,Louisiana
CowboyJaxx,false,88,Florida
BondFire16,false,919,Florida
AthansABC11,true,7225,North Carolina
BenInfoWarren,false,397,Texas
MikeH5856,false,3775,Michigan
LeftyChicago,false,250,Illinois
terri_gowin,false,13121,
JustinKCarr,false,128,Illinois
Eco1stArt,false,2926,
AKpr0bot,false,29,Alaska
onesmallredhead,false,57,Texas
coppingsundays2,false,843,Tennessee
bellport_phys,false,920,New York
goldenpanther12,false,4219,Pennsylvania
jhritzen,false,55,Missouri
WendyByTheSea2,false,29213,Washington
Chito_SSBU,false,213,Georgia
petluvers4Trump,false,59393,
freep,true,489529,Michigan
cyanogenmoduser,false,10,Michigan
DeeLT,false,299,District of Columbia
ErieC4L,false,136,Pennsylvania
CCV_VT,false,3233,Vermont
GlomaniBLopez,false,1259,New York
chriskallas654,false,178,Florida
charlene_redhil,false,92,
NeceHorn,false,21195,
YesOn1Nevada,false,223,Nevada
FeatheryIceCrys,false,759,
chenmarie39,false,853,Michigan
fireboy869unwa1,false,1703,Texas
Bonfiredesigns,false,8923,
half_witt,false,3365,Wisconsin
BookHelpForYou,false,476,California
21law,false,1616,Illinois
michcloe321,false,8375,Oregon
MrKyleWhitt,false,58,
perception_iq,false,2199,
ConscienceCit,false,6976,Florida
Grav1,true,3675,Texas
TweetMacro,false,1284,Illinois
