Source,Target,Time
HipoldmaidCindy,saribethrose,1604366197000
siztahresistah,mmpadellan,1601675200000
prieto1973,lgbtqnation,1604070885000
mattyhandsome,TimKennedyMMA,1600176122000
greggieboyLRG,,1602968245000
giselleaguiar,,1601236800000
CranstonMalcolm,Millie__Weaver,1604373973000
AjYerman,,1603568433000
NancyCurtner,mercedesschlapp,1603834474000
B_RadleyBurris,TimKennedyMMA,1600110319000
lynette530,FullMeasureNews,1604105345000
lawdawgseven,VicToensing,1596486011000
sjhendrix548,USA_Anne711,1603671805000
chriskallas654,,1602911326000
UniteBlueMN,DisVisibility,1601191903000
PeteKent01,ConservaMomUSA,1603980530000
carol_33410,unradical_idea,1603127583000
RuthPet40031554,mplstvguy,1604377849000
pia_jeannie,DanScavino,1604329677000
rkettenacker,,1603920951000
sayno2trump775,TomthunkitsMind,1600217055000
lori_clydesdale,CBS_Herridge,1602963452000
jimsmith1944,ouchinagirl,1600378279000
4ChangingTides,Isellmpls,1601714578000
AndiParkinson,,1599874820000
tmabaker,Reuters,1603518593000
TheChrisSuprun,,1603828538000
PorterSumari,WarRoomPandemic,1603569421000
jtahmooressi1,AdamMilstein,1604029560000
will_show2020,,1601433177000
SarahDaniels,GracieNunyabiz,1603926991000
james_jr86,,1600121640000
ToniJBruno,,1601432898000
drew_dank,GovNedLamont,1603987409000
Adman_Tucker,EdanClay,1602903018000
_Bec_Smith,HKrassenstein,1604366910000
derekdob,,1600201997000
SuMoh7,SuMoh7,1601107356000
smileyscorpio82,,1601446838000
17Thanq,ouchinagirl,1603128714000
shelleyt72,JustTheNews,1604368724000
JosephSoblosky,ANC168,1600322168000
sunnyDee50,ms_lexi_09,1601448426000
WasOnceLou,,1604377765000
RealWAgem,,1602905035000
BobShrum,USCDornsife,1601454849000
PawsXXd,usambovu,1604329500000
JillsonEmily,Ravagiing,1601449218000
LWVHuntingtonNY,,1601151720000
bellstar16,CMPlummer4,1602887320000
CherylBroker,SKYRIDER4538,1601754767000
SethKinstle,,1601710558000
ryan10_sa,ourrepublic76,1603777429000
UpfrontKPFA,kpfa,1604370660000
KILLAXD40LIVE,TimKennedyMMA,1600105325000
ChuckVansShow,,1604375544000
LibertatemFirst,WarRoomPandemic,1604099028000
WinndizzleW,stinchfield1776,1599897246000
mister_cstewart,,1600157374000
realstevebailey,,1601656926000
Heffaay,missmayim,1603860038000
Trumpster4Trump,DanScavino,1602906484000
ToniS1955,kevincorke,1603727707000
TCRepublic,,1603740574000
SabrinaLaCole,alithepoet_,1603779309000
anastasialee090,ouchinagirl,1602994498000
Jamiemills924,TimKennedyMMA,1600155072000
TheDovetailDad,,1604350599000
ot_ford,postpolitics,1599935936000
SantitaJ,,1600354820000
kamzou08,,1604322160000
JamesYusczyk,,1601515570000
VoteBiden20,ClarkCountyNV,1602975804000
tara_minnich,DanScavino,1604099336000
whterrell,,1601277029000
impulsivewoman,GracieNunyabiz,1603834489000
JMuser16,SammiG0203,1603048464000
mainenewshound,,1602884633000
LifeOfMarie267,,1601176714000
AmeliaCeja,BarbaraBoxer,1601668575000
thejoshuablog,,1596827044000
