Id,Verified,Followers,Region
AppSame,false,341429,Texas
thejoshuablog,false,6627,New York
filafresh,false,7362,Texas
JCarlosdePC,false,123,Florida
LynetteDelong_1,false,16,Virginia
SmallBizResCafe,false,4087,Virginia
ComfortSpeak,false,240,District of Columbia
JOLPOLitico,false,1438,Georgia
SuMoh7,false,32323,New York
garlandgates,false,1765,Ohio
RepInnamorato,true,4774,Pennsylvania
VilleneuveAlain,false,257,California
space_panda13,false,71,California
KaroleeHrobsky,false,66,Wisconsin
AireLes,false,101,Pennsylvania
texasdicks,false,1990,
derekdob,false,10067,Florida
USA1864,false,2081,
SethKinstle,false,22203,New York
WhitneysTruLove,false,4171,
brokechick101,false,3671,
galiotti,false,2155,California
EllenStreiff,false,6686,Arizona
SteveScottNEWS,true,4807,New York
francine_foss,false,94,Wyoming
DeniseJacob17,false,4194,Massachusetts
2old2kare,false,8290,Texas
barneystoneage,false,738,New York
PoliticalRaces,false,222,District of Columbia
eric_weinberger,false,416,Massachusetts
stephenogunyemi,false,47,
ACLUNV,true,6584,Nevada
KateMThomp,false,4092,Massachusetts
hollyshansen,false,4263,Texas
acura_mom_,false,521,Indiana
drew_dank,false,638,Connecticut
leggett,true,9532,Washington
LibertyCentric,false,1947,Colorado
RodneySherman5,false,1852,
NancyMo80920833,false,2269,Arizona
truthjusticehph,false,372,California
AmySchuknechtGA,false,3473,Georgia
kierahattonsena,false,1879,Colorado
inda_hood,false,364,Oregon
CraftyKaat,false,8740,Ohio
edfundwest,false,534,California
Grease_Mon_key,false,35,Virginia
essvote,true,1348,Nebraska
YoJakeIsBaked,false,254,California
twitchyo2o2,false,522,
LindsayKelleyS,false,1565,North Carolina
raeganlady,false,7126,New Jersey
APChristie,true,2703,Arizona
bluesurferwave,false,9589,
AP_Politics,true,377618,District of Columbia
MAnotGinger,false,4530,Tennessee
CarrollForME,false,16808,Maine
imginamarie1,false,4524,
smileyscorpio82,false,65,Texas
Jeffrey_Bailey1,false,11170,Florida
annepaezNOLA,false,18783,Louisiana
PeteKent01,false,47117,
shellpartduex,false,17841,
SportsPrincess,false,935,Texas
azredsoxfan65,false,3329,Arizona
SantitaJ,false,5751,Illinois
Arc89890,false,16,Texas
BosWomensFund,false,994,Massachusetts
sanderhaugen,false,77,
raymondafoss,false,1823,
littlegirl108,false,429,New York
Adman_Tucker,false,3543,New York
asiaontv,false,838,Pennsylvania
siztahresistah,false,3947,
JkendleTDR,false,357,Ohio
TrumperSeaney,false,28114,
PrettyDreamer9,false,148,New York
Lana_Jordan,false,1578,Texas
AssyrianGOP,false,313,Illinois
GifAgain,false,285,
Debbie72569141,false,3680,California
strummer_matic,false,128,Texas
RuthPet40031554,false,178,
OGSamuraiNC,false,607,Texas
JewishVoice,true,23468,New York
RP2012dave,false,349,Florida
SonyaShuler,false,26312,
MannInMidMo,false,23,Missouri
KILLAXD40LIVE,false,68,Florida
FletcherSchool,false,19871,Massachusetts
PaulaMariaAussi,false,54,Alaska
fxmct71,false,9278,Pennsylvania
Joeanthony_nyc,false,360,
GPalhegyi,false,4010,California
JamesWithers3,false,1203,New York
DemetreBhunter,false,1534,California
LowCountryCann1,false,142,
Bill19300155,false,6275,Ohio
VTpollster,false,1315,Vermont
queenelizaa,false,232,
JuneSmith888,false,5807,
lau926,false,53,New Jersey
BP_SportsTalk,false,268,
snowstormyou,false,12996,
BrieBridschge,false,410,Missouri
nickloesberg,false,51,Texas
TeresaZebra4445,false,46,
MaybeMattyGaetz,false,3,Florida
AF1_4_TheDonald,false,1786,
Deplorable4US,false,1238,
ryanmoore001,false,924,New York
PhillyInquirer,true,409738,Pennsylvania
JRiotComstock,false,284,California
AlanTonelson,false,5007,Maryland
jakeinator722,false,180,Illinois
JEEPhade,false,321,Louisiana
SlemPike1,false,1794,Michigan
willojean27,false,1147,
2020IOWAGIRL,false,58,
JohnJam29184340,false,10601,Connecticut
myfairobserver,false,13574,California
ThadBehrens,false,20,Texas
bucknasty1007,false,9,Hawaii
SandyBurrell7,false,74,
virtualintandem,false,294,Texas
np_jr45,false,29,Ohio
spectrametric,false,92,Texas
Schaumburgur,false,99,
TeaParty101,false,2667,
nelz34026,false,1837,
CLopezReports,false,1371,California
EarthMother60,false,11520,
jlodge28,false,1841,Hawaii
Delegree,false,118,
pettypizzarolls,false,10,Pennsylvania
JulieCo69684444,false,103,Florida
RobertB52216885,false,7101,Kentucky
SuzeeSusie,false,7242,
OmgawdMadeit,false,23,
kat_boon,false,1806,Texas
bigledmachine,false,229,
The__Snowman,false,1323,Colorado
annejonesmn,false,3986,Minnesota
Deeraflynn,false,578,New York
unradical_idea,false,558,New York
ChrisCasquejo,true,1350,Michigan
MooseTruth,false,3957,
JKearby,false,1399,Texas
breezyshade007,false,81,Pennsylvania
laxconcierge,false,1111,
cseff_53,false,1111,Wisconsin
stdyhngry_anon,false,33,California
matigrje,false,15108,Kentucky
dracarys,false,28,Massachusetts
DSMinister,false,846,Connecticut
morganvctoriaaa,false,413,New York
hightide172,false,16160,
icivics,false,16227,Massachusetts
alexgulotta,false,1901,Arizona
DavidWallSea,false,36,District of Columbia
sunsetlane82,false,295,Washington
JohnVetsResist1,false,14549,
karenr01932165,false,2811,
DavidWalkerCLT,false,5050,North Carolina
CaseyAdamF,false,43,Wisconsin
rlanzara,false,8598,New York
IvanEspinozaESQ,false,2071,Massachusetts
teresaeddings,false,35,Missouri
harry20131120,false,59,New York
dirtnose,false,11,California
jacob_kingsford,false,16,Illinois
rqmatix,false,34,California
Adrian33609,false,287,Florida
Ragman9432,false,2208,Texas
minniecactustt,false,935,Florida
Nfly760,false,3158,California
BobShrum,true,17607,California
DonnaLeeParella,false,6762,
GauldinDebora,false,4,Texas
michaeljeaton,false,2772,
TheYoungTurks,true,429162,California
fudpucker_elmer,false,39,
Kat4Obama,false,8107,District of Columbia
JoseReq13,false,315,Illinois
jeff6182,false,44,Texas
bellstar16,false,45,Kansas
theatlantavoice,false,3924,Georgia
are_washington,false,5702,
PatriotsUSA4U,false,2796,Idaho
CranstonMalcolm,false,4629,
UMPublicAffairs,true,8091,Michigan
JustinLemkulVT,false,1476,Virginia
MichelleOGrad12,false,385,
PositivityW,false,969,Rhode Island
snoop90044,false,51,California
richeblaze,false,568,Missouri
LissaLove123,false,27281,Ohio
Honest_Alway,false,1591,Wisconsin
frozenmn,false,2251,
MahsaWho,true,6180,Florida
GreerBower,false,33,Ohio
RickInBuffalo,false,3198,New York
CaCindy3,false,1852,California
SoCalDoc,false,302,California
drjeffmbaxter,false,591,Colorado
hanna_darl,false,3521,
carlsemmes,false,373,
NickTheSilent,false,992,Colorado
ElecCollPolls,false,726,Washington
SKYRIDER4538,false,140751,
dj09876543,false,521,Massachusetts
bridget123goooo,false,15280,Massachusetts
solomom1171,false,3502,
B_RadleyBurris,false,287,Maryland
ilovetrump93,false,7360,West Virginia
SD_SocialWorker,false,1387,California
Adamsturdi,false,152,
NomadCovfefe,false,8173,
josh__blaylock,false,295,Georgia
Dwiggins89,false,325,California
TXHomeStager,false,2501,Texas
tjmac_teri,false,172,Texas
Adaria___,false,1622,Pennsylvania
bokeprinbmore,false,2514,
lmblaj1234,false,1457,Florida
Moniquee883,false,175,
sorokti,false,2269,Illinois
